,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Trajectory Size,,,Input,,,,Time,,,Compression,,,,,Information Loss,,,,,,,,,,,,,,,,,,,,,,,,,
,Method,Frames,Atoms,Size,System Name,Atoms,,Size,Compression Time,Decompression Time,Reconstruction Time (Modeller + BioBB) (*),Decoder Size,Latent Space,Total,Ratio,Difference,RMSD                     (Decoder Reconstruction),RMSF                     (Decoder Reconstruction),RMSD                     (Full Reconstruction),RMSF                    (Full Reconstruction),,,,,,,,,,,,,,,,,,,,,,
Torch,AEzip CG,25000,7909,"2.375.495.016,00",Coarse Grained,"1.379,00",,"171.058.836,00","1103,94","1,26","48.337,00","133.915.216,00","2.000.208,00","135.915.424,00","17,48","2.239.579.592,00","0,42","0,21","0,49","0,26",,,,,,,,,,,,,,,,,,,,,,
,AEzip HA,,,,Heavy Atoms,"3.909,00",,"478.086.260,00",4415,"4,43","48.882,00","1.074.059.344,00","2.000.208,00","1.076.059.552,00","2,21","1.299.435.464,00","0,38","0,19","0,48","0,26",,,,,,,,,,,,,,,,,,,,,,
,AEzip UA,,,,United Atoms,"3.973,00",,"488.776.120,00",4504,"6,2","48.193,00","1.107.215.312,00","2.000.208,00","1.109.215.520,00","2,14","1.266.279.496,00","0,38","0,19","0,48","0,26",,,,,,,,,,,,,,,,,,,,,,
,AEZip full,,,,Full Atomistic,"7.909,00",,"753.076.284,00",15922,"15,19","0,00","4.381.217.148,00","2.000.208,00","4.383.217.356,00","0,54","-2.007.722.340,00","0,41","0,21",-,-,,,,,,,,,,,,,,,,,,,,,,
mdplus,PCAzip,,,,Full Atomistic,"7.909,00",,"753.076.284,00","3201,86","15,89",-,-,"409.901.384,00","409.901.384,00","5,8","1.965.593.632,00","0,16","0,09",-,-,,,,,,,,,,,,,,,,,,,,,,
Gromacs,TNG,,,,Full Atomistic,"7.909,00",,"753.076.284,00",-,-,-,-,-,"584.557.893,00","4,06","1.790.937.123,00","0,00","0,00","0,00","0,00",,,,,,,,,,,,,,,,,,,,,,
,XTC,,,,Full Atomistic,"7.909,00",,"753.076.284,00",-,-,-,-,-,"753.076.284,00","3,15","1.622.418.732,00","0,00","0,00","0,00","0,00",,,,,,,,,,,,,,,,,,,,,,xt
,TRR,,,,Full Atomistic,"7.909,00",,"753.076.284,00",-,-,-,-,-,"2.375.046.936,00",1,"448.080,00","0,00","0,00","0,00","0,00",,,,,,,,,,,,,,,,,,,,,,
