,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,System Name,Atoms,Size,Compression Time,Decompression Time,Reconstruction Time (Modeller + BioBB) (*),Decoder Size,Latent Space,Total Size (Mb),Ratio,Difference,,,,,
,,CB,472,"43,27",,,,"15,09","1,91","17,00","2,55","146,14",,,,,
,,CA,517,"47,40",,,,"18,14","1,91","20,04","2,36","435,89",,,,,
,,Coarse Grained,1.379,"163,13","1103,94","1,26","48.337,00","127,71","1,91","129,62","1,26","326,32",,,,,
,,Heavy Atoms,3.909,"455,94",4415,"4,43","48.882,00","1.024,30","1,91","1.026,21","0,44","-560,08",,,,,
,,United Atoms,3.973,"466,13",4504,"6,2","48.193,00","1.055,92","1,91","1.057,83","0,44","-339,64",,,,,
,,Full Atomistic,7.909,"718,19",15922,"15,19","0,00","4.178,25","1,91","4.180,16","0,17","-4.180,16",,,,,
,,,,,,,,,,,,,,,,,
,All Atomistic Trajectory Size (Mb),System Name,Frames,Size,Compression Time,Decompression Time,Reconstruction Time (Modeller + BioBB) (*),Decoder Size,Latent Space,Total Size (Mb),Ratio,Difference,,,,,1
,"716,7530651",Manual Coarse Graining (1379),25.000,"47,40","1103,94","1,26","48.500,00","127,71","1,91","129,62","5,53","587,13",,,,,1
,"1433,453369",,50.000,"94,05","2.198,01","1,94","97.000,00","127,71","3,81","131,53","10,9","1.301,93",,,,,1
,"2150,624689",,75.000,"141,22","3259,42","2,77","145.500,00","127,71","5,72","133,43","16,12","2.017,19",,,,,1
,"2868,051334",,100.000,"188,03","4406,13","3,41","194.000,00","127,71","7,63","135,34","21,19","2.732,71",,,,,1
,"3585,130899",,125.000,"235,00","5916,88","4,52","242.500,00","127,71","9,54","137,25","26,12","3.447,88",,,,,1
,"4190,540984",,150.000,"274,66","6278,47","5,53","291.000,00","127,71","11,44","139,16","30,11","4.051,38",,,,,1
,"4907,593699",,175.000,"321,40","7605,98","6,25","339.500,00","127,71","13,35","141,06","34,79","4.766,53",,,,,1
,"5736,533263",,200.000,"375,20","9645,58","6,82","388.000,00","127,71","15,26","142,97","40,12","5.593,56",,,,,1
,"716,7530651",United Atoms (3973),25.000,"47,40","4504,00","6,2","48.500,00","1.055,92","1,91","1.057,83","0,68","-341,08",,,,,
,"1433,453369",,50.000,"94,05","9049,94","7,57","97.000,00","1.055,92","3,81","1.059,74","1,35","373,72",,,,,
,"2150,624689",,75.000,"141,22","13630,99","8,52","145.500,00","1.055,92","5,72","1.061,65","2,03","1.088,98",,,,,
,"2868,051334",,100.000,"188,03","18157,36","10,71","194.000,00","1.055,92","7,63","1.063,55","2,7","1.804,50",,,,,
,"3585,130899",,125.000,"235,00","22672,86","17,91","242.500,00","1.055,92","9,54","1.065,46","3,36","2.519,67",,,,,
,"4190,540984",,150.000,"274,66","28066,1","26,61","291.000,00","1.055,92","11,44","1.067,37","3,93","3.123,17",,,,,
,"4907,593699",,175.000,"321,40","34284,17","21,96","339.500,00","1.055,92","13,35","1.069,27","4,59","3.838,32",,,,,
,"5736,533263",,200.000,"375,20","39749,38","21,2","388.000,00","1.055,92","15,26","1.071,18","5,36","4.665,35",,,,,
,"716,7530651",Full Atomistic (7909),25.000,"47,40","15.922,00","15,19","48.500,00","4.178,25","1,91","4.180,16","0,17","-3.463,41",,,,,
,"1433,453369",,50.000,"94,05","31874,22","17,2","97.000,00","4.178,25","3,81","4.182,07","0,34","-2.748,62",,,,,
,"2150,624689",,75.000,"141,22","47197,06","22,85","145.500,00","4.178,25","5,72","4.183,98","0,51","-2.033,35",,,,,
,"2868,051334",,100.000,"188,03","63744,68",,"194.000,00","4.178,25","7,63","4.185,88","0,69","-1.317,83",,,,,
,"3585,130899",,125.000,"235,00","79928,42",,"242.500,00","4.178,25","9,54","4.187,79","0,86","-602,66",,,,,
,"4190,540984",,150.000,"274,66","97901,86",,"291.000,00","4.178,25","11,44","4.189,70",1,"0,84",,,,,
,"4907,593699",,175.000,"321,40","109021,98",,"339.500,00","4.178,25","13,35","4.191,61","1,17","715,99",,,,,
,"5736,533263",,200.000,"375,20","127209,12",,"388.000,00","4.178,25","15,26","4.193,51","1,37","1.543,02",,,,,
